Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD]
1130;0.249396;-0.309615;0.467688;0.196291;0.625087;-0.057943;-0.474229;0.922670
1140;-0.265689;0.055855;0.027986;1.361848;0.039203;-0.019606;-0.651111;-0.542443
1150;-0.583495;-0.043119;0.740960;1.272329;0.314366;-0.460497;0.076491;0.511567
1160;-0.258167;0.359974;-0.646074;0.387182;0.209019;-0.035055;0.089513;-0.803163
1170;0.048102;0.283128;0.380561;-0.255965;-0.396059;0.019444;-0.763462;-0.124681
1180;-0.256957;-1.105426;-0.476659;-0.560881;0.309684;-0.053709;-0.761628;0.703540
1190;-0.477848;-0.394553;-0.408438;-0.272107;-0.223288;-0.683322;-0.240053;0.560449
1200;-0.807052;-0.548478;0.184244;-0.723240;0.412740;0.924607;-0.633512;-0.213819
1210;-0.059949;-0.179961;-0.255155;-0.510806;0.775832;0.003753;-0.253967;-1.141593
1220;0.329940;0.333338;-1.172703;0.148298;0.074400;-0.424966;-1.071278;-0.125685
1230;0.440690;0.155025;0.252223;0.726058;0.081407;-1.120295;-0.736464;-0.039967
1240;0.450791;-0.219555;-0.567501;-0.506240;-0.600370;0.509776;-0.286068;0.289338
1250;-0.596636;-0.728265;0.143713;-0.371531;0.018653;-0.119470;-0.923337;0.482724
1260;-0.584449;0.714729;1.109574;0.115966;-1.282589;-0.152206;-0.173300;0.335956
1270;-0.126794;0.792327;1.162164;-0.314690;-1.118871;0.685678;0.152463;0.359314
1280;0.433117;1.224587;-0.051670;0.548802;-0.711493;-0.328175;-0.667476;0.296713
1290;-0.194497;0.284933;0.130172;-0.017685;-0.738513;-0.643583;0.800764;-0.002665
1300;-0.168093;0.157063;0.827130;0.318333;-0.183473;-0.358065;-0.978544;0.448853
1310;-0.930147;-0.974696;0.656957;0.025213;-0.204615;-0.177124;0.874041;-0.498097
1320;0.101820;-0.522675;-0.111436;0.437286;0.277240;0.944860;-0.396417;-0.328568
1330;0.405297;-0.003055;0.170017;0.616684;-0.372672;1.281389;0.408153;-0.797269
1340;-0.107928;-1.022398;0.764442;-0.161396;-0.223073;0.922444;0.840036;-0.047386
1350;0.046825;0.041264;0.736488;0.612357;-0.436848;-0.378341;-0.589687;-0.405841
1360;0.172933;-0.037411;0.373807;0.027918;-0.014732;0.732177;-0.910412;-0.517816
1370;0.095899;-0.263672;0.688315;0.476014;-0.798573;-0.362235;0.427345;0.104279
1380;0.807871;-0.704398;0.001804;0.573060;-0.660381;0.511828;0.098392;-0.109097
1390;0.810150;-0.317701;-0.063714;-0.098780;0.582867;0.499293;0.396462;-0.945861
1400;-0.949895;-0.729175;0.032543;-0.974017;-0.249391;-1.234783;0.021831;0.591343
1410;0.863460;-0.230716;0.067342;-0.327644;0.588756;-1.069294;-0.389393;-0.359579
1420;-0.406919;-0.640327;-0.005169;0.063396;-0.567332;0.413942;0.106166;0.159706
1430;-0.471920;0.863427;-0.375405;-0.060578;-0.235479;1.538829;0.179945;-0.071494
1440;-1.041501;-0.604476;-0.715391;0.659856;-1.009205;-0.883046;0.408596;-0.573113
1450;-0.370958;0.747705;-0.679549;0.567326;-0.862339;-0.480450;0.816645;-1.189788
1460;-0.181768;0.466237;-0.810544;-0.344588;-0.655756;0.026358;-0.412585;0.742567
1470;0.456459;0.214844;-0.102223;-0.193062;-0.073698;0.311574;-0.707075;-0.054563
