Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD];TA11 [mOD];TA12 [mOD];TA13 [mOD];TA14 [mOD];TA15 [mOD];TA16 [mOD];TA17 [mOD];TA18 [mOD];TA19 [mOD];TA20 [mOD]
360;-0.400633;-0.549660;-0.453071;-0.383605;-0.385800;-0.471482;-0.591981;-0.445604;-0.538181;-0.537580;-0.536009;-0.344732;-0.388677;-0.621114;-0.363624;-0.279703;-0.626182;-0.662542;-0.464360;-0.613695
370;-0.360582;-0.545518;-0.347602;-0.467855;-0.517448;-0.424821;-0.413236;-0.451297;-0.423538;-0.389329;-0.451430;-0.295711;-0.503994;-0.522858;-0.424623;-0.424277;-0.367114;-0.307587;-0.381671;-0.538220
380;-0.372247;-0.330628;-0.463658;-0.366221;-0.678249;-0.409939;-0.511829;-0.393189;-0.494739;-0.434012;-0.428308;-0.794169;-0.424740;-0.449221;-0.591172;-0.319930;-0.459768;-0.452594;-0.344998;-0.538041
390;-0.645259;-0.378211;-0.334850;-0.368375;-0.646852;-0.481416;-0.216769;-0.288247;-0.448846;-0.306563;-0.472336;-0.437900;-0.810924;-0.486665;-0.440384;-0.314576;-0.509898;-0.392520;-0.415058;-0.407562
400;-0.341394;-0.333000;-0.412409;-0.302371;-0.246338;-0.371858;-0.248664;-0.254338;-0.529674;-0.313184;-0.435942;-0.451327;-0.408682;-0.295525;-0.308708;-0.623282;-0.470103;-0.383106;-0.361486;-0.294259
410;-0.577063;-0.314384;-0.326580;-0.459512;-0.243123;-0.350420;-0.346641;-0.276924;-0.286349;-0.347788;-0.294778;-0.131728;-0.385477;-0.368815;-0.252174;-0.246025;-0.223203;-0.253713;-0.404562;-0.320491
420;-0.360647;-0.283430;-0.275123;-0.576725;-0.244021;-0.094887;-0.401102;-0.298197;-0.704195;-0.367096;-0.547381;-0.227350;-0.313314;-0.335286;-0.407873;-0.235964;-0.129365;-0.420054;-0.454148;-0.274725
430;-0.242519;-0.285686;-0.173461;-0.384699;-0.322704;-0.317318;-0.372006;-0.197418;-0.243109;-0.227104;-0.301032;-0.352979;-0.257691;-0.355406;-0.462644;-0.282288;-0.167422;-0.435984;-0.373369;-0.373833
440;-0.448245;-0.377197;-0.148383;-0.333005;-0.321069;-0.071264;-0.495175;-0.128463;-0.176326;-0.148850;-0.311635;-0.263100;-0.285110;-0.144903;-0.198395;-0.212862;-0.289267;-0.339853;-0.158439;-0.220435
450;-0.506765;-0.115987;-0.221522;-0.204407;-0.305791;-0.274938;-0.363799;-0.190636;-0.264294;-0.212871;-0.422648;-0.250430;-0.130502;-0.419723;-0.182709;-0.463945;-0.184475;-0.219845;-0.016025;-0.361637
460;-0.183768;-0.172633;-0.104656;-0.289983;-0.375463;-0.271700;-0.349293;-0.211062;-0.122287;0.038884;0.053328;-0.126577;-0.405740;-0.291315;-0.291535;-0.215594;-0.116162;-0.255542;-0.332363;-0.350472
470;0.058123;-0.284298;-0.263623;-0.150167;-0.540413;-0.188196;-0.076299;-0.213325;-0.222629;-0.231890;-0.089004;-0.196103;-0.279795;-0.197381;-0.265384;-0.271804;-0.285702;-0.150441;-0.101828;-0.513996
480;-0.290554;-0.328477;-0.121689;-0.045277;-0.439727;-0.059416;-0.139272;-0.279396;-0.345457;-0.221997;0.051263;-0.149730;-0.336535;-0.209789;-0.352911;-0.100920;-0.300893;-0.228021;-0.353505;-0.203336
490;-0.274469;-0.192191;-0.535230;-0.109980;-0.100635;-0.193953;-0.212056;-0.289985;0.157384;-0.157767;-0.243942;-0.264687;-0.348097;-0.239292;-0.134506;-0.097371;-0.012814;-0.131420;-0.311665;-0.236259
500;-0.154480;-0.257960;-0.020022;-0.116004;-0.099425;0.055653;-0.342067;-0.061265;-0.382517;-0.131064;-0.164352;-0.154752;-0.136371;-0.315842;-0.266518;-0.255137;-0.315227;-0.208621;-0.419230;-0.173891
510;0.048522;-0.044958;-0.213082;-0.153377;-0.448300;-0.159080;-0.126030;-0.166447;-0.171595;-0.007216;-0.262671;-0.041224;-0.012407;-0.136604;-0.226464;-0.225048;-0.291736;0.130616;-0.198147;-0.344528
520;-0.049306;-0.122856;-0.333396;-0.113752;-0.004011;-0.378167;-0.093869;-0.033247;-0.131472;-0.257723;-0.126242;-0.157411;-0.262693;-0.169644;-0.236537;-0.140217;-0.141853;-0.312158;-0.004409;-0.342906
530;0.171960;-0.060627;-0.030869;-0.173064;-0.285516;-0.243579;-0.168114;-0.134595;-0.210224;0.046057;-0.137763;-0.168216;-0.058827;-0.113336;-0.177103;-0.114443;-0.115835;-0.131922;-0.176346;-0.116672
540;-0.176879;-0.048127;0.075000;0.057792;-0.281558;-0.252366;-0.248475;-0.056154;-0.106063;-0.189265;-0.250979;-0.461640;-0.011609;-0.189298;-0.093362;-0.114216;-0.088154;-0.267059;-0.127812;0.028472
550;-0.266932;-0.203197;-0.424705;-0.066209;-0.004416;-0.234937;-0.134373;-0.194809;0.031246;-0.034486;0.015241;-0.256846;-0.017211;-0.067294;-0.151122;-0.103768;-0.268133;0.025647;-0.007592;-0.242294
560;-0.135205;-0.015654;-0.112389;-0.067325;-0.113185;-0.128259;-0.117261;0.167869;-0.081804;-0.181385;-0.094493;-0.113667;-0.127089;-0.066862;-0.088595;-0.150206;-0.016435;-0.133217;-0.144516;-0.024825
570;0.063504;0.032547;-0.070439;-0.181392;-0.085733;-0.069072;-0.537989;-0.067370;-0.173516;-0.182682;0.074494;-0.120635;-0.036891;-0.205205;-0.296315;-0.153299;-0.015252;-0.024060;-0.184955;-0.216194
580;0.072769;-0.138836;0.043662;-0.005610;0.033631;-0.365379;0.014842;0.098948;-0.100692;-0.130135;-0.100484;-0.161594;-0.048492;-0.121510;-0.103771;-0.031215;-0.120335;0.034412;-0.020401;-0.077387
