Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
1550;3.396333;3.293637;3.376004;3.053766;3.450184;3.736842;2.833823;3.306830;3.272770;2.936645
1560;3.295701;3.110720;3.296075;3.419592;3.488855;2.418123;2.958924;3.400948;3.288787;3.209406
1570;3.420720;2.631235;3.074414;2.877997;2.854272;2.943017;3.120578;3.213654;3.295659;2.852821
1580;3.606802;3.133138;3.266868;3.078853;2.737561;3.039894;3.210129;2.636734;3.109272;2.845592
1590;3.162615;2.921867;3.026680;2.824518;3.365501;3.135767;3.310749;3.255427;2.767863;3.305206
1600;3.849347;3.158350;2.886132;2.829156;3.019694;3.028273;3.325788;3.298652;3.056798;2.693688
1610;3.491404;3.169947;3.418891;2.551091;2.447639;2.833397;3.046578;2.959906;3.181536;2.864636
1620;3.383158;2.993550;2.197129;2.629691;2.533216;2.602675;3.066768;2.936646;2.383617;2.859232
1630;2.861487;2.070548;2.804409;2.567665;2.358481;2.659056;2.928663;3.013897;2.929345;2.495658
1640;2.794042;2.606203;2.788090;2.811569;2.839811;3.087421;2.629391;3.000442;3.385358;2.553488
1650;2.396931;2.984829;2.518186;3.105507;2.615990;2.659452;2.908697;2.578836;2.647030;2.267873
1660;2.618713;3.179268;2.800771;2.157359;2.800930;2.793519;2.782914;2.102864;2.316011;2.865823
1670;2.456401;2.887902;3.163734;2.563400;2.833450;2.481460;2.602524;2.629285;2.512248;2.421235
1680;2.903641;2.839107;2.213985;2.656626;2.796247;2.626047;2.607681;2.732329;2.969992;2.801939
1690;2.669534;2.409463;3.480349;2.706760;3.092250;2.573852;2.110165;2.124731;2.424552;2.933197
1700;2.990591;2.325573;2.553861;2.727112;2.440075;2.944734;3.058347;2.325305;2.575358;2.402075
1710;2.512248;3.081430;2.751061;2.675731;3.144249;2.558294;2.878282;2.446338;2.533083;2.731283
1720;2.687576;2.681521;2.636547;2.580908;2.658835;2.805605;2.828799;2.908713;2.445295;2.739591
1730;2.204020;2.564959;2.810882;2.425352;2.414427;2.232582;1.962689;2.150919;2.785243;2.177927
1740;2.628368;2.415173;2.529297;2.097241;2.160627;2.193182;2.358085;2.553907;2.484874;2.404807
1750;2.751692;2.554648;2.777819;2.418286;2.227729;2.019184;2.990103;1.996408;2.648902;2.696485
1760;3.466160;2.341503;2.346667;2.994290;2.686157;2.800701;2.278589;2.414297;2.665399;2.468558
1770;2.896080;2.316150;2.185373;2.627463;3.070686;2.417059;2.607857;2.782003;2.445856;2.257141
1780;2.137421;2.665881;2.743128;2.369281;1.869325;2.306512;2.511027;2.407463;2.627082;2.117640
1790;2.406371;2.469352;2.173543;2.059421;2.677275;2.513896;2.617948;2.677641;2.363688;2.082037
1800;2.655271;2.580473;2.241868;2.455893;2.290840;1.955092;2.009294;2.328894;1.761677;2.209712
1810;2.591674;2.099005;2.578325;2.541149;2.685822;2.243281;2.068283;2.042053;2.175125;2.034034
1820;2.852344;2.184435;2.198733;2.801757;2.289799;2.460548;2.404291;2.392405;2.013603;2.330531
1830;2.748679;2.509584;2.638906;2.749996;2.025938;2.268258;2.086165;2.108169;2.071253;2.272948
1840;2.090261;2.584361;2.705305;1.829467;2.375043;2.278963;2.362412;2.109601;2.299325;1.836080
1850;2.221933;2.112082;1.900467;1.376593;2.078250;2.197522;2.440117;1.958718;2.337424;2.208888
1860;2.646671;2.072289;2.418770;2.326664;2.202878;2.119043;2.164823;2.047063;1.819348;1.926509
1870;2.667358;2.477362;2.369630;2.999305;2.628078;2.287274;1.950199;2.015148;2.727831;2.323077
1880;2.416322;2.159474;2.174870;2.227883;2.171865;2.216086;2.160478;2.304409;1.895361;1.975624
1890;1.880847;2.445243;2.352190;1.580647;2.307272;2.050087;2.174072;2.176085;2.506936;2.067500
1900;2.450707;1.858632;2.149448;2.661609;2.681688;1.999017;2.229804;2.338608;1.985707;2.313222
1910;2.424534;1.893407;2.389134;2.258513;1.965999;2.204397;2.503262;1.808335;1.936172;1.879052
1920;1.915630;2.410537;2.066227;2.340831;2.444591;2.477832;2.388493;1.806029;2.345169;1.970224
1930;2.035151;2.033896;2.100048;1.861206;2.193677;2.392790;2.272415;1.680641;2.184782;2.401029
1940;2.462066;2.155235;2.008561;2.262916;1.820608;2.003086;2.233002;1.730451;1.666869;2.086236
1950;2.342609;2.345674;1.503458;1.902833;1.204277;1.964337;1.980048;1.952437;1.975401;2.038046
1960;2.297579;1.596242;2.090916;1.984081;1.646057;2.498953;1.869539;1.785331;1.943358;1.679189
1970;2.220892;1.956937;2.197940;1.678661;2.021599;1.949657;2.032782;1.616474;2.069210;1.837469
1980;1.746878;2.139245;2.035361;1.915688;1.482167;1.794078;1.830486;2.274275;2.023336;1.496274
1990;1.866226;2.080253;2.089041;1.041938;1.796736;1.757098;1.898847;1.825514;1.659994;2.128931
2000;1.777914;2.041565;2.043322;2.191064;1.862958;2.140021;1.575995;1.604031;2.492000;2.043071
2010;2.129876;1.542651;1.776167;1.755253;1.932894;2.071059;1.728700;2.284713;1.916479;1.246036
2020;1.791635;1.992006;2.209688;1.867179;1.404674;1.531352;1.847776;2.042054;1.611695;1.668519
2030;2.132822;1.602004;2.000061;1.998034;1.686047;1.372722;1.747795;1.889119;1.883883;1.493996
2040;1.879890;1.581428;2.471766;2.228963;1.638806;1.535260;1.771018;1.620712;1.617037;1.623529
2050;1.925313;1.687192;2.438083;2.054828;1.741086;1.707285;1.773605;1.529420;1.726375;1.628994
2060;1.477522;1.982643;1.989348;1.870929;1.892442;1.649398;2.214641;1.667467;1.646019;1.361969
