Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
1210;1.897909;1.776487;2.824898;2.918376;1.751376;1.231134;2.321955;2.501632;1.918030;1.253997
1220;2.052960;1.830808;2.987670;2.326872;2.135168;2.336282;2.383949;3.444528;1.994535;2.122075
1230;2.516885;3.222549;2.610929;2.728256;1.476505;1.541209;1.952025;2.326532;1.966333;1.939175
1240;2.147669;2.257876;2.348286;2.981867;1.885183;3.086830;2.687542;2.220570;1.791163;1.450702
1250;2.117925;1.695606;2.042265;2.183219;2.898768;2.145653;1.739544;1.639215;1.353684;2.445471
1260;3.033855;2.780832;1.678701;2.045386;2.995005;1.645245;1.672427;1.874355;1.523772;1.836289
1270;2.077516;2.162144;2.645543;1.779634;1.590798;2.020518;1.182771;1.919807;2.175178;1.510997
1280;2.416655;1.995412;2.708249;2.477353;1.749231;2.213860;1.939748;2.040117;1.628103;2.329421
1290;2.567513;2.167744;1.789724;1.847739;1.575248;2.417124;2.295561;2.093528;1.888525;2.311482
1300;1.874235;1.979303;2.621824;2.373753;2.272284;2.110065;0.784518;2.032989;1.708963;1.819092
1310;1.938499;1.985894;1.941642;2.208896;2.481929;1.952989;1.384155;0.592147;0.745763;2.514985
1320;2.492016;2.588680;2.161177;1.893510;2.334939;2.431461;1.553811;1.219605;2.185580;2.409606
1330;2.037127;1.633634;1.783836;2.460272;3.121363;2.932769;2.286557;2.056420;1.705422;1.772116
1340;2.299909;2.668261;2.122346;2.181181;2.584953;2.509508;2.041540;1.759817;2.019199;1.227147
1350;2.058620;2.656925;2.001625;1.556357;2.411233;2.327051;2.736718;1.361587;2.681147;1.792252
1360;1.965557;1.898877;2.011108;2.049186;2.152116;1.919175;2.290857;2.223973;1.486832;3.200162
1370;2.567639;1.542015;1.783521;1.594134;2.060037;1.708142;1.518361;2.100023;1.515788;1.574906
1380;2.067208;1.125517;2.553673;1.523406;2.146545;1.325338;1.102129;1.954607;1.807933;1.746191
1390;1.783679;1.680529;0.997163;3.221179;1.899816;1.878791;2.226855;2.185487;0.970662;1.110428
1400;1.524926;1.837249;2.387274;2.108041;2.034199;2.134650;2.470657;1.419290;1.848641;2.016923
1410;1.505092;1.860459;1.501712;0.646387;1.986894;1.477286;2.882918;2.484479;1.957437;1.461886
1420;0.869695;2.437047;2.262344;2.031574;1.694936;1.694057;1.740408;1.547232;1.763589;1.861132
1430;1.958560;1.559062;2.215990;2.603562;1.438254;2.441956;1.859103;1.132181;2.096600;1.423969
1440;1.467365;1.226132;2.396830;2.398130;2.099587;2.081952;0.657992;1.014217;1.455585;1.873755
1450;0.948480;1.802652;1.391736;2.458028;1.014462;1.594104;1.678414;1.844636;2.386100;1.821070
1460;1.193589;1.224883;2.210082;1.154174;1.660076;2.425058;1.108863;1.627693;1.673955;1.202678
1470;1.662523;1.319085;1.198800;2.009034;2.165841;1.746547;1.576303;2.209096;1.047872;2.016283
1480;3.338461;1.765749;2.775323;0.861373;1.499026;2.019158;1.422756;1.649914;1.016877;1.948354
1490;1.501624;1.934508;2.274703;2.115582;1.595745;1.671299;1.575463;1.157296;1.936945;1.897248
1500;1.368153;1.769721;0.659586;1.634861;1.320184;1.554863;2.432122;2.099724;1.605551;1.482573
1510;0.979047;2.267342;1.435327;1.733340;0.911518;1.617497;2.000268;1.227882;1.388215;1.315191
1520;2.257976;1.402723;1.982925;0.740387;1.753723;0.931613;0.237119;1.311071;1.198971;1.464825
1530;1.071210;1.848369;1.611585;1.882915;2.061932;2.334929;1.649495;1.408025;1.471862;1.559347
1540;1.172187;1.492934;2.708752;0.400560;2.101235;2.189243;2.099176;1.353904;2.041404;2.255813
1550;1.881795;3.161013;0.498505;2.405690;0.733448;1.523833;1.248099;1.466385;1.356222;1.664611
1560;1.741224;0.907159;1.551465;0.858867;1.501380;1.302963;0.315413;1.046580;1.798627;0.866896
1570;1.010838;1.225339;1.438509;0.981577;1.770179;2.283504;1.425518;0.978957;1.743077;1.340485
1580;1.432596;1.533598;1.501359;1.804417;1.200599;2.074479;0.428725;0.940584;2.178976;1.586809
1590;1.679442;1.646238;1.057418;1.909237;1.131624;1.766066;0.971970;1.227122;1.263453;1.177537
1600;1.357384;0.954090;1.645590;0.971898;1.325035;0.734968;1.519092;1.227734;1.106271;2.035304
1610;1.915141;1.514033;1.498149;2.805175;1.564192;0.709999;1.029460;1.866465;1.439373;2.054517
1620;1.066643;1.415154;0.829236;2.131236;1.388599;2.550336;0.847768;1.324815;0.538575;2.202938
1630;1.695435;0.845626;1.127592;1.308877;2.329295;1.364745;2.385791;2.177789;1.539061;2.403469
1640;1.248895;1.857069;1.289329;1.044633;1.446013;2.182437;1.164365;1.263620;1.264411;1.006124
1650;2.017799;1.534114;1.736265;0.664016;1.297740;1.930274;1.926097;1.145586;0.407121;2.166694
1660;1.072713;1.090242;0.976541;1.518776;1.359770;1.670531;1.391961;0.988487;0.734918;1.622983
1670;2.088712;1.022103;1.306231;1.915049;0.802844;0.849504;0.977666;0.611029;1.535619;1.341931
1680;0.763095;1.521564;2.250938;0.764485;2.198579;0.821194;1.010798;1.425093;1.281613;0.676331
1690;1.232061;0.767257;1.741337;2.157161;1.222034;1.312314;1.671066;0.841579;0.733013;0.997319
1700;2.312489;1.114008;1.466679;1.390079;0.382239;0.919010;0.801976;1.291657;1.692449;1.771030
1710;0.931536;0.936472;0.891906;1.784725;1.400299;1.366091;1.892358;1.019337;0.587322;0.957199
1720;1.721475;0.877192;1.134249;1.506740;0.834214;2.586057;1.778932;2.279537;0.448994;0.471967
1730;0.326800;1.084417;0.955363;1.613339;2.087554;1.437090;0.986704;1.091707;2.143732;0.795933
